country,agricultural_land%,forest_land%,land_area,avg_precipitation,trade_in_services%,control_of_corruption_estimate,control_of_corruption_std,access_to_electricity%,renewvable_energy_consumption%,electric_power_consumption,CO2_emisions,other_greenhouse_emisions,population_density,inflation_annual%,real_interest_rate,risk_premium_on_lending,research_and_development_expenditure%,central_goverment_debt%,tax_revenue%,expense%,goverment_effectiveness_estimate,goverment_effectiveness_std,human_capital_index,doing_business,time_to_get_operation_license,statistical_performance_indicators,individuals_using_internet%,logistic_performance_index,military_expenditure%,GDP_current_US,political_stability_estimate,political_stability_std,rule_of_law_estimate,rule_of_law_std,regulatory_quality_estimate,regulatory_quality_std,government_expenditure_on_education%,government_health_expenditure%,multidimensional_poverty_headcount_ratio%,gini_index,birth_rate,death_rate,life_expectancy_at_birth,population,rural_population,voice_and_accountability_estimate,voice_and_accountability_std,intentional_homicides,year,month
Afghanistan,58.13440044,1.852781994,652230,327,20.26530778,-1.645391107,0.19512254,42.7,15.15,1331.112025,8576.15,28585.90265,43.22044677,2.178537524,11.36409374,4.607157545,0.730717461,51.20181838,9.169751919,50.8630046,-1.478315592,0.232904166,0.574535906,96,21.8675,63.41375,4,2.24,1.945835694,15856668496,-2.579151869,0.282069832,-1.87005806,0.179176971,-1.516528249,0.179445863,3.479449987,0.46915731,24.8,35.7,40.602,8.254,60.851,28189672,21498290,-1.404467344,0.143254608,3.48709272,2010,1
Afghanistan,58.12980084,1.852781994,652230,327,18.25044706,-1.430372834,0.186088413,69.1,15.36,1331.112025,10208.13,30928.57237,46.71125063,6.441212809,7.174387244,4.607157545,0.730717461,51.20181838,7.707800603,42.32925145,-1.375535131,0.226352304,0.574535906,96,21.8675,63.41375,5.454545455,2.3,1.17541612,19907329906,-2.418561459,0.243881539,-1.651893139,0.169416144,-1.192579746,0.183461115,2.604199886,0.34288675,24.8,35.7,40.009,7.711,61.923,30466479,23105778,-1.267430067,0.134757057,6.393912575,2012,1
Afghanistan,58.12366803,1.852781994,652230,327,9.052920653,-1.540352702,0.165113986,97.7,19.92,1331.112025,9294.93,30864.98363,53.10428376,4.383891955,17.58393816,4.607157545,0.730717461,51.20181838,9.502652783,43.92276561,-1.290252805,0.233016059,0.574535906,96,21.8675,37.22291667,11,2.141282,0.956772141,18116572399,-2.662156105,0.217759669,-1.520713925,0.175973922,-1.339695096,0.197117642,4.543970108,0.60012972,51.7,35.7,37.936,7.077,63.136,34636207,25970228,-1.037788033,0.129876375,6.69241862,2016,1
Afghanistan,58.27698818,1.852781994,652230,327,11.63830468,-1.502880573,0.154771924,93.43087769,17.96,1331.112025,10972.38,32580.49106,56.24823145,0.626149149,5.468423368,4.607157545,0.730717461,51.20181838,15.53662303,25.60454474,-1.501345396,0.245708838,0.393489242,96,21.8675,49.845,16.8,1.95,1.006745856,18053222735,-2.753262043,0.223669991,-1.688586712,0.159508109,-1.138203621,0.197536752,4.138329983,0.55239552,24.8,35.7,36.927,6.981,63.081,36686784,27333488,-1.007052064,0.134252891,6.743572835,2018,1
Albania,40.83941606,28.40288321,27400,1485,37.73410522,-0.706940055,0.155251458,99.42845154,32,1213.124369,4258.4,8990.758036,108.394781,2.932682482,9.304741438,8.167251356,0.087569997,51.20181838,15.53662303,25.60454474,-0.427722543,0.223805815,0.574535906,96,21.2,63.41375,15.03611541,2.08,1.820765344,10677324853,-0.203974649,0.26269111,-0.661545992,0.158681855,0.034550302,0.194529891,3.275929928,2.43571401,24.8,35.7,12.07,6.318,77.549,2970017,1517619,0.113008469,0.134594038,3.528126815,2007,1
Albania,43.84306569,28.54270073,27400,1485,38.48220062,-0.531616509,0.145589307,99.64420319,36.99,1943.343354,4785.4,9243.210309,106.314635,3.626046956,7.971036596,6.996244738,0.730717461,51.20181838,15.53662303,25.60454474,-0.279453218,0.223780468,0.543602943,96,21.8675,63.41375,45,2.46,1.558591893,11926926616,-0.191482902,0.260473907,-0.385760486,0.145244271,0.233281955,0.18045947,3.41307497,2.37874556,24.8,35.7,11.92,7.029,77.936,2913021,1393502,0.123838224,0.130565852,4.084575425,2010,1
Albania,43.84306569,28.64660584,27400,1485,34.92658062,-0.778729439,0.128089383,99.9,39.91,2118.327776,4541.8,9070.545303,105.8540511,2.031592684,9.736112073,5.72870292,0.730717461,63.66915264,17.48323356,23.00759072,-0.268925011,0.20950608,0.574535906,96,21.8675,63.41375,49.4,2.77,1.487082577,12319834195,-0.143631592,0.221984327,-0.519839764,0.131550968,0.240491986,0.181479484,3.30906105,2.45518684,24.8,29,12.227,7.573,78.064,2900401,1324613,0.022064038,0.11787165,5.428406749,2012,1
Albania,43.12773723,28.80218978,27400,1485,37.27735635,-0.471469223,0.138142213,99.89,39.44,1331.112025,4573.2,9191.743023,104.9671898,1.275431684,7.413723259,5.671666667,0.730717461,80.73558197,17.59022981,23.95672943,0.029821262,0.219929546,0.574535906,96,21.8675,63.905,59.6,2.412498,1.103581009,11861199831,0.337447882,0.206087306,-0.32136485,0.16453886,0.186607629,0.196718767,3.962090015,2.80370712,24.8,33.7,11.289,8.035,78.86,2876101,1195854,0.170948684,0.122665294,2.742043475,2016,1
Albania,42.84967153,28.7919708,27400,1485,39.1276059,-0.545840263,0.13549161,100,37.83,1331.112025,5316.1,9671.388481,104.6122628,2.028059631,4.394812962,4.6225,0.730717461,64.57038142,18.54596747,23.26681445,0.080650173,0.224906608,0.628666282,96,21.8675,77.59666667,65.4,2.66,1.160544785,15156424015,0.366642982,0.212307975,-0.414187849,0.144306988,0.256079823,0.206044436,3.152944803,2.82325125,49,30.1,10.517,8.308,79.184,2866376,1137407,0.188694432,0.127507299,2.294045943,2018,1
Algeria,17.32011051,0.762593734,2381740,89,7.138050915,-0.592309475,0.17222169,98.68524933,0.41,899.1041533,102750.2,200976.5808,14.26848732,3.678995747,1.508207772,7.04125,0.730717461,51.20181838,15.53662303,25.60454474,-0.537276387,0.219317064,0.574535906,96,19.3,63.41375,9.451190626,2.06,2.923321027,1.34977E+11,-1.150585532,0.244294539,-0.791886449,0.160585284,-0.522581637,0.206279173,4.138329983,2.66687727,24.8,35.7,22.65,4.945,72.602,33983827,11776076,-0.984122396,0.111849181,0.797438134,2007,1
